1c1w;9
4eb7;22
4kne;-1
2xne;6
3eks;26
2hx4;0
2x1n;25
4jnc;-1
2wjo;13
3l3m;-1
3vo3;6
2kt4;-1
1yp3;-1
3n60;0
3pdq;-1
3iv6;-1
3fzw;-1
1aku;11
3dux;9
2uxu;-1
3kuc;-1
1nvr;6
3t3i;-1
3kt3;-1
1vdc;-1
1jra;-1
5iqe;-1
1meu;12
5pah;-1
1z8a;8
1uum;-1
3pgi;13
4h3y;-1
3ffi;17
1wbt;6
1hrv;-1
3coy;-1
3ang;-1
4kqs;-1
2ixa;-1
4iqg;14
2bhi;-1
2fvd;6
1fue;11
1c80;-1
3di6;17
1ay5;22
8cpp;10
1ykr;6
2iej;-1
1ei1;-1
4fex;-1
4at9;-1
4xcj;4
4is3;14
3fql;-1
1pnq;-1
2f0y;-1
2qiq;9
1n4h;16
2xvd;6
1cil;18
3poz;6
4cgh;2
1bnq;18
2cgx;6
4uhl;-1
3lnc;-1
4gca;8
3dwb;-1
1xha;6
3kk6;-1
1ckp;6
3qw4;-1
4qoi;5
1z0z;-1
4hw2;-1
2pdu;8
2h3w;-1
3u8n;-1
4ehu;-1
4bcd;-1
1icv;-1
2pcg;3
4cef;2
5ar4;6
3wbb;-1
4ydu;-1
2cd2;1
4tyq;-1
4oau;-1
4jl5;-1
3ura;-1
5d6l;-1
4k28;-1
4k10;-1
4nju;-1
4qfy;-1
3l4s;-1
1al7;8
4om8;-1
3ox3;5
4e1b;-1
3d70;-1
1zs0;-1
1suo;10
4gh1;8
3u10;-1
4but;-1
3vf9;6
2ixb;-1
2xx2;-1
4gus;-1
2oc9;-1
2j08;-1
1x96;8
4jq7;6
2j9g;-1
1yqz;24
3dxw;22
4rmn;-1
1nja;-1
1py5;6
7std;-1
2a0x;-1
1j3k;-1
3k2h;-1
2izh;-1
4uqu;-1
1zyx;-1
3sr5;1
3ggs;-1
4fa3;8
3o73;5
4iij;-1
3gwu;-1
1zga;11
1m8i;-1
2y6f;-1
3cj3;23
4cr8;-1
1b38;6
1i9c;-1
2ji8;-1
3hmm;6
1adc;21
3vq8;2
1b7y;-1
5f54;-1
4hw7;6
3tfj;-1
3oiv;11
2ed5;3
1pua;-1
1y2b;-1
2yy8;-1
2gfk;-1
4lxh;-1
1pdh;19
4fhi;16
3emd;11
4b6c;-1
4inb;-1
2oh0;6
2uuv;-1
3mta;-1
5fli;-1
2rl5;6
3exn;-1
4k4f;-1
3nd1;3
4nt0;8
1b11;-1
3zid;-1
1wnb;-1
2b1i;-1
3vha;4
1df8;-1
1qvn;-1
3nhu;5
3ict;-1
3lan;17
2rgc;11
4f64;6
2pvk;6
3ar7;-1
3tlx;-1
3fum;-1
2hh5;-1
2op1;-1
3as0;-1
4djx;-1
3zbz;-1
2xhr;4
3qls;-1
1qf5;-1
4e9b;-1
1xid;8
2gzw;-1
2xve;-1
2v74;-1
1efv;-1
2j0l;6
3fhb;-1
4bk3;19
3vkx;-1
3n6u;-1
4j03;-1
1nm5;-1
1k2u;0
4zoh;-1
3iae;-1
3m42;6
3dyl;-1
1xbt;-1
2ejv;21
3h6k;14
3oah;-1
3nnu;6
4imt;0
2gjl;8
3w2m;-1
1ikx;17
4qpz;-1
1y6a;6
4ihl;-1
3jy0;6
1vrl;-1
3pdt;-1
3swi;-1
1pd9;1
1v08;-1
4hge;6
1dqa;-1
2q97;-1
1mes;12
2r6h;-1
1lol;8
4fdn;-1
1y2d;-1
4xye;-1
4dwv;21
3jx4;0
3ols;20
1xls;-1
3be9;6
1d4c;-1
1kkq;-1
4nh9;4
1zs5;-1
4edz;-1
2zoz;-1
8dfr;1
3c3e;-1
4hhz;-1
4xcv;-1
5c3c;-1
1rg9;-1
3rs7;11
1odj;-1
2brn;6
2wp5;-1
4oim;11
3byz;-1
4iad;6
4gaa;-1
2bu5;-1
3i3s;11
3qm4;-1
2z7h;-1
1dlt;-1
3jt6;0
4i10;13
2yye;-1
4qak;-1
3lad;24
2q7v;-1
1qyx;11
1fbm;-1
4g8b;-1
2c3c;24
2hdq;-1
1g05;-1
5c40;-1
2dpm;11
5d5a;-1
4nd3;-1
1h60;8
1sre;-1
4au7;-1
4cf0;2
4xj3;-1
1bws;11
4pkw;-1
1eve;-1
2wya;-1
1tdo;19
3aut;-1
3jq8;14
2gnl;6
3tea;-1
3tq8;1
3gyi;19
3kfl;-1
2yit;6
3s1h;6
1m8d;-1
5dnr;6
1lqu;-1
2aaw;7
1xse;-1
4epl;-1
2ako;-1
3uv3;-1
3vcy;-1
4h96;-1
3zt0;2
1ohp;-1
1bq1;-1
4iva;6
1wk8;-1
1xdq;-1
4kz0;-1
2hcd;16
4kfo;-1
1e2k;-1
8atc;-1
2qgt;20
2yis;6
5c4n;-1
1ijj;-1
4cgi;2
2azy;-1
2vqq;-1
3ufu;0
3rke;-1
4itx;-1
5exd;-1
1dgb;-1
2qr2;5
3zgl;-1
1jik;-1
3i81;6
2gpu;16
3nzk;-1
5cp4;10
1q19;-1
3k0f;-1
1kh3;-1
3i6r;8
2zsb;-1
3cf0;-1
1q4j;-1
2fyp;-1
1zp3;-1
1hxw;12
3tn8;6
2yd0;-1
2zf0;9
1d7x;-1
3dh8;-1
3szg;-1
2ie0;11
2wd2;18
4usw;-1
4g5d;-1
1agn;-1
2ylx;15
3n5y;0
3eqm;10
2ddy;-1
1pnr;-1
1cbo;19
2lzg;-1
2be2;17
3cnd;-1
5f6l;-1
1kv9;-1
2jdv;6
4aac;6
3biv;9
1i3k;-1
1wze;-1
4a6b;12
3giy;8
2az8;-1
1bn3;18
3v4f;11
2pcm;3
2jib;-1
3fpd;-1
4ji9;6
1x7e;20
3tgs;-1
3n71;-1
3bm4;-1
2if8;-1
3d1z;12
4ymv;-1
1nde;16
3c15;-1
2uzt;6
3fri;11
4rkf;-1
1wc5;-1
2x23;14
1peq;-1
2hqm;24
3lu8;-1
1kp8;-1
1cjk;-1
1yqy;-1
3myq;18
4gpb;-1
3zyb;-1
1r43;-1
2r0c;-1
1h3f;-1
4ohx;-1
3qfb;-1
3zbx;6
2x7u;18
2gn9;-1
3zov;13
2g97;-1
4opc;19
4qmw;6
2itx;6
1pwl;8
1ohk;1
1nhq;15
3jun;-1
1gx1;-1
4gue;6
4xyb;-1
3myz;-1
3vws;-1
4hby;-1
3oet;-1
2v3a;15
1o79;-1
1typ;24
4ca5;-1
3pxy;6
2c29;-1
1m7b;11
3qj5;21
2whw;-1
1rb3;-1
2wba;24
1zxb;-1
1c3e;-1
4ux6;-1
4qa0;-1
3isi;8
3p6n;10
3t14;15
4af7;-1
4hyp;-1
4ig6;-1
5jdz;-1
1xi9;-1
1mnc;-1
1xpq;-1
1u65;-1
1b8n;-1
1h2b;-1
4y3r;13
4iaz;6
3s3v;1
1zyk;-1
1drh;1
1jus;-1
1yob;-1
5iqg;-1
1ych;-1
4kfj;-1
1q3d;-1
2cb3;-1
1ga8;-1
4h12;-1
3k5g;-1
2d3u;23
1qrr;11
3l3l;-1
4wct;-1
3qvr;-1
4exg;13
1odn;-1
3n33;-1
4l6g;-1
5bn3;-1
3bll;8
3t2y;15
3ozr;1
3lba;-1
1mzs;-1
1q3w;-1
4a5s;-1
2a58;-1
5gpb;-1
2rgo;-1
5uvi;-1
2yac;6
1nd5;-1
5amn;6
2bwp;-1
3qsb;-1
